,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance
0,12,12,0,20.0,20.0,0,0.0,7,50.0,0.0,2,2,0,20.0,20.0,0.0,0.0,7,50.0,0
1,5,12,0,20.0,20.0,0,0.0,7,50.0,0.0,15,1,0,20.0,20.0,0.0,0.0,7,50.0,0
2,15,3,0,20.0,20.0,0,0.0,7,50.0,0.0,13,5,0,20.0,20.0,0.0,0.0,7,50.0,0
3,12,8,0,20.0,20.0,0,0.0,7,50.0,0.0,14,4,0,20.0,20.0,0.0,0.0,7,50.0,0
4,15,3,0,20.4,20.64,0,-0.2,2,0.0,0.0,2,4,1,20.85,20.55,0.4,0.4,2,100.0,0
5,14,8,0,20.55,20.85,0,-0.4,2,0.0,0.0,1,5,1,20.64,20.4,0.2,0.2,2,100.0,0
6,13,9,0,20.0,20.0,0,0.0,7,50.0,0.0,4,2,1,21.333333333333336,20.066666666666666,0.6000000000000001,0.6000000000000001,7,100.0,0
7,7,13,0,20.0,20.0,0,0.0,7,50.0,0.0,5,1,1,21.133333333333333,20.4,0.6000000000000001,0.6000000000000001,5,100.0,0
8,13,9,0,19.2,21.0,0,-0.6000000000000001,5,0.0,0.0,6,99,0,20.0,20.0,0.0,0.0,7,50.0,0
9,9,12,0,20.066666666666666,21.333333333333336,0,-0.6000000000000001,7,0.0,0.0,12,10,0,20.0,20.0,0.0,0.0,7,50.0,0
10,12,11,0,20.0,20.0,0,0.0,7,50.0,0.0,15,8,0,20.0,20.0,0.0,0.0,7,50.0,0
11,2,2,1,22.06666666666667,19.253333333333334,0,1.08,5,100.0,0.0,12,12,0,20.4,21.133333333333333,-0.6000000000000001,0.0,7,0.0,0
12,15,8,0,21.090000000000003,21.680000000000003,0,-0.4,7,0.0,0.0,8,3,1,21.653333333333336,21.445333333333334,0.6000000000000001,0.0,7,50.0,0
13,6,9,1,20.04,21.28,0,0.2,1,50.0,0.0,5,10,1,20.32,20.0,0.2,0.2,1,100.0,0
14,1,2,1,22.013333333333335,19.282666666666668,0,0.2,2,100.0,0.0,10,13,0,20.333333333333336,21.0,-0.6000000000000001,0.0,7,0.0,0
15,5,1,1,21.906666666666666,20.653333333333336,0,1.08,7,100.0,0.0,7,8,1,21.0,19.533333333333335,0.6000000000000001,0.6000000000000001,2,100.0,0
16,11,12,0,20.053333333333335,21.38666666666667,0,-0.2,2,0.0,0.0,9,99,0,20.48,20.68,-0.2,-0.2,2,0.0,0
17,14,10,0,20.0,20.0,0,0.0,7,50.0,0.0,11,13,0,20.400000000000002,21.8,-1.08,-0.6000000000000001,5,0.0,0
18,5,3,1,22.22266666666667,20.656266666666667,0,0.8800000000000001,6,66.66666666666666,0.0,6,12,1,20.99266666666667,21.509333333333338,0.4,0.0,5,33.33333333333333,0
19,4,10,1,21.256,19.533333333333335,0,0.7600000000000001,6,100.0,0.0,1,2,1,22.61066666666667,19.55946666666667,0.6000000000000001,1.08,5,100.0,0
20,9,8,0,20.6,20.62666666666667,0,-0.12,5,50.0,0.0,13,12,0,20.2,21.266666666666666,-0.6800000000000002,-0.2,7,0.0,0
21,6,5,1,21.512,20.97,0,0.56,7,100.0,0.0,3,1,1,22.525333333333332,20.32266666666667,0.6000000000000001,1.08,5,100.0,0
22,10,4,0,21.613333333333337,21.773333333333333,0,-0.28,7,50.0,0.0,14,11,0,19.533333333333335,21.0,-0.6000000000000001,0.0,7,0.0,0
23,15,8,0,20.372000000000003,22.244000000000007,0,-0.4,6,0.0,0.0,10,9,0,19.565333333333335,22.024,-0.6000000000000001,0.0,6,33.33333333333333,0
24,6,8,1,20.8,20.701333333333334,0,0.2,2,66.66666666666666,0.0,13,13,0,20.560000000000002,21.64,-1.064,-0.6800000000000002,2,0.0,0
25,10,10,1,20.2,20.240000000000002,0,0.2,2,100.0,0.0,14,12,0,20.36,21.333333333333332,-0.7440000000000002,-0.36000000000000004,2,0.0,0
26,2,5,1,22.459600000000002,21.476,0,0.4,2,100.0,0.0,15,11,0,19.826666666666668,21.8,-1.08,-0.6000000000000001,2,0.0,0
27,14,99,0,20.784,21.494,0,-0.56,7,0.0,0.0,1,2,1,22.988533333333336,19.947573333333334,0.8800000000000001,1.2640000000000002,2,100.0,0
28,3,3,1,22.778133333333336,20.458346666666667,0,0.6000000000000001,2,75.0,0.0,12,9,0,19.785600000000002,22.619200000000003,-1.08,-0.6000000000000001,2,25.0,0
29,7,4,1,22.29066666666667,21.618666666666666,0,0.6000000000000001,2,66.66666666666666,0.0,4,1,0,22.720266666666667,21.508133333333337,0.08000000000000007,0.4640000000000001,2,75.0,0
30,13,8,1,21.297600000000003,21.928533333333338,0,0.6000000000000001,2,25.0,0.0,9,12,0,20.72746666666667,22.207466666666672,-0.28,-0.6000000000000001,2,25.0,0
31,9,13,1,21.198000000000004,21.812,0,-0.45120000000000005,4,25.0,0.0,2,5,1,22.96768,20.114133333333335,0.6000000000000001,0.56,4,100.0,0
32,14,99,0,20.96053333333333,22.1952,0,-0.6000000000000001,4,0.0,0.0,3,3,1,23.22250666666667,20.500010666666668,0.6000000000000001,0.4,4,80.0,0
33,1,2,1,23.39082666666667,20.291392000000002,0,1.3040000000000003,4,100.0,0.0,12,10,0,20.36,20.432000000000002,-0.2,0.0,4,50.0,0
34,5,10,0,21.3048,20.52666666666667,0,-0.4,6,66.66666666666666,0.0,7,8,1,22.038080000000004,21.34282666666667,0.6000000000000001,0.0,4,40.0,0
35,13,9,0,19.961813333333335,23.095360000000003,0,-1.4640000000000002,4,20.0,0.0,4,1,1,22.296213333333334,21.24650666666667,0.26400000000000007,0.5712000000000002,4,80.0,0
36,11,12,0,20.381973333333335,22.76597333333334,0,-0.8240000000000001,4,20.0,0.0,15,11,0,18.794666666666668,22.44,-1.4640000000000002,-1.08,4,0.0,0
37,12,12,1,20.528,21.266666666666666,0,-0.39520000000000016,4,25.0,0.0,9,4,0,21.872533333333337,21.414933333333334,-0.2,-0.28,4,50.0,0
38,15,99,0,20.368426666666668,22.75616,0,-0.6000000000000001,3,0.0,0.0,5,8,1,22.630464000000003,20.740928000000004,1.08,0.6000000000000001,3,50.0,0
39,1,2,0,22.862661333333335,21.033113600000004,0,-0.4,3,85.71428571428571,0.0,9,8,0,21.14,21.31106666666667,-0.4,-0.12,7,50.0,0
40,12,12,0,19.6224,22.013333333333332,0,-0.6000000000000001,3,20.0,0.0,2,5,1,23.84081066666667,20.957973333333335,1.08,1.048,3,100.0,0
41,10,13,0,21.82506666666667,22.916266666666665,0,-0.6000000000000001,3,20.0,0.0,6,4,1,22.49802666666667,20.331946666666667,0.44000000000000006,0.37600000000000006,3,60.0,0
42,7,10,0,20.710506666666667,21.421333333333337,0,-0.6000000000000001,3,50.0,0.0,3,3,1,23.578005333333337,20.000008533333336,1.08,0.9200000000000002,3,83.33333333333334,0
43,14,9,0,19.302784000000003,23.476288000000004,0,-0.6000000000000001,3,16.666666666666664,0.0,13,11,1,20.035733333333333,22.418666666666667,-0.5712000000000002,-0.264,3,25.0,0
44,12,12,0,20.772245333333338,23.212778666666672,0,-0.6000000000000001,3,16.666666666666664,0.0,4,1,1,22.83697066666667,20.33053866666667,0.8112000000000001,1.0569600000000001,3,83.33333333333334,0
45,6,4,1,22.698421333333336,20.265557333333334,0,0.7520000000000001,4,66.66666666666666,0.0,10,8,0,21.512000000000004,22.048853333333337,-0.9200000000000002,-0.6960000000000001,4,40.0,0
46,4,1,1,23.269576533333336,20.19776426666667,0,1.2489600000000003,5,85.71428571428571,0.0,15,99,0,20.161408,23.204928000000002,-0.6000000000000001,-0.56,5,0.0,0
47,14,11,0,20.878586666666667,23.134933333333333,0,-0.8569600000000002,5,20.0,0.0,7,10,0,20.918405333333336,22.18706666666667,-0.4,0.7600000000000001,5,40.0,0
48,11,13,0,21.460053333333338,23.033013333333333,0,-0.4,5,16.666666666666664,0.0,12,12,0,20.551129600000003,23.570222933333337,-0.6000000000000001,-1.08,5,14.285714285714285,0
49,6,8,1,23.104371200000003,20.45940906666667,0,1.4640000000000002,5,57.14285714285714,0.0,1,2,1,23.29012906666667,21.426490880000006,0.6000000000000001,1.6112000000000004,5,87.5,0
50,3,5,1,24.272648533333335,20.633045333333335,0,1.4640000000000002,5,100.0,0.0,9,10,1,21.088,20.495600000000003,0.24,0.4,7,66.66666666666666,0
51,13,12,0,19.564586666666667,22.810666666666666,0,-0.6000000000000001,5,16.666666666666664,0.0,10,9,1,20.642227200000004,23.631030400000004,0.4,-1.08,5,28.57142857142857,0
52,14,11,0,20.702869333333336,23.207946666666665,0,-0.4,1,16.666666666666664,0.0,15,99,0,20.062459733333334,23.63060906666667,-1.08,-1.048,1,0.0,0
53,5,4,1,23.15873706666667,20.479112533333332,0,0.6000000000000001,2,71.42857142857143,0.0,11,10,0,20.8704,20.796480000000003,-0.008000000000000007,0.12000000000000005,1,50.0,0
54,14,12,0,18.985002666666666,23.248533333333334,0,-0.6000000000000001,1,14.285714285714285,0.0,13,12,0,20.64090368,23.21617834666667,-0.6800000000000002,-1.064,1,12.5,0
55,2,5,1,23.81811882666667,20.506436266666668,0,0.2,2,100.0,0.0,13,8,0,21.47626666666667,22.63908266666667,-1.3360000000000003,-1.1568,3,33.33333333333333,0
56,4,3,1,23.91240426666667,20.35000682666667,0,1.2640000000000002,7,85.71428571428571,0.0,2,2,1,23.632103253333337,20.941192704000006,1.08,1.8889600000000004,2,88.88888888888889,0
57,10,13,1,21.52804266666667,22.626410666666665,0,0.2,2,28.57142857142857,0.0,9,9,1,21.513781760000004,22.23815765333334,0.9200000000000002,-0.264,2,37.5,0
58,3,1,1,23.682327893333337,20.09154474666667,0,0.6000000000000001,4,87.5,0.0,9,10,1,21.69632,21.037184000000003,0.5936000000000001,0.6960000000000002,3,60.0,0
59,13,8,0,21.281013333333338,23.011266133333336,0,-1.4688000000000003,3,28.57142857142857,0.0,7,8,0,22.283496960000004,21.367527253333336,-0.6000000000000001,1.08,5,50.0,0
60,8,10,1,21.43472426666667,21.749653333333338,0,0.07999999999999996,6,50.0,0.0,6,4,0,22.926989653333337,21.383290026666668,-0.6000000000000001,0.7008000000000001,5,62.5,0
61,2,5,1,23.95449506133334,20.505149013333337,0,0.4,5,100.0,0.0,15,99,0,19.899967786666668,23.604487253333335,-1.2640000000000002,-1.2384,6,0.0,0
62,9,10,0,22.197056,21.829747200000003,0,0.2748800000000001,3,50.0,0.0,5,3,0,23.663256746666672,21.480005461333338,-0.6000000000000001,1.1360000000000001,5,75.0,0
63,13,8,0,21.07481066666667,23.259012906666673,0,-0.4,4,25.0,0.0,4,3,1,23.98060539733334,21.43400436906667,-0.08000000000000007,1.3088000000000002,2,77.77777777777779,0
64,9,10,0,22.0076448,22.513797760000003,0,-0.4,2,42.857142857142854,0.0,6,8,1,22.676797568000005,21.14402180266667,-0.08000000000000007,1.2640000000000002,4,55.55555555555556,0
65,14,12,0,21.112722944,23.572942677333337,0,-1.1440000000000001,7,11.11111111111111,0.0,8,9,1,22.211025408000005,22.05719278933334,1.3360000000000003,0.38880000000000003,7,44.44444444444444,0
66,5,4,1,23.34159172266667,21.173298688000003,0,0.12,3,66.66666666666666,0.0,1,5,1,23.443596049066674,20.12411921066667,0.2,1.4384000000000001,2,100.0,0
67,11,12,1,20.188002133333335,23.19882666666667,0,0.6000000000000001,7,25.0,0.0,12,11,1,21.262295466666668,22.416357333333334,0.4,-0.6112000000000001,7,28.57142857142857,0
68,8,10,1,22.00611584,22.451038208000003,0,0.2,3,50.0,0.0,13,8,0,21.326515200000003,23.607210325333337,-0.6000000000000001,-1.32544,3,22.22222222222222,0
69,5,4,0,23.073273378133337,22.1386389504,0,-0.4,4,60.0,0.0,15,99,0,19.639974229333333,23.16358980266667,-1.2112000000000003,-1.19072,6,0.0,0
