,Date,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,month,result,year
0,22,1,1,0,Belchatow,20.0,20.0,0.0,0.0,-2628,50.0,0.0,11,11,0,Kielce,20.0,20.0,0.0,0.0,-2628,50.0,0,10,0,2010
1,23,6,6,0,Bydgoszcz,20.0,20.0,0.0,0.0,-2627,50.0,0.0,4,5,0,AZS Czestochowa,20.0,20.0,0.0,0.0,-2627,50.0,0,10,0,2010
2,23,10,7,0,Olsztyn,20.0,20.0,0.0,0.0,-2627,50.0,0.0,4,2,0,Kedzierzyn-Kozle,20.0,20.0,0.0,0.0,-2627,50.0,0,10,1,2010
3,23,4,4,0,Rzeszow,20.0,20.0,0.0,0.0,-2627,50.0,0.0,9,8,0,Wielun,20.0,20.0,0.0,0.0,-2627,50.0,0,10,0,2010
4,24,7,3,0,Jastrzebski,20.0,20.0,0.0,0.0,-2626,50.0,0.0,6,10,0,Verva Warszawa,20.0,20.0,0.0,0.0,-2626,50.0,0,10,1,2010
5,27,3,2,1,Kedzierzyn-Kozle,21.0,19.6,0.0,0.6000000000000001,4,100.0,0.0,9,8,0,Wielun,20.28,20.560000000000002,-0.2,-0.2,4,0.0,0,10,0,2010
6,27,6,5,0,AZS Czestochowa,20.04,20.12,0.0,-0.2,4,0.0,0.0,10,7,0,Olsztyn,19.6,21.0,-0.6000000000000001,0.0,4,0.0,0,10,1,2010
7,27,5,6,1,Bydgoszcz,20.12,20.04,0.2,0.2,4,100.0,0.0,9,11,0,Kielce,19.6,21.0,-0.6000000000000001,-0.6000000000000001,5,0.0,0,10,1,2010
8,27,9,3,0,Jastrzebski,20.65,20.7,-0.4,-0.4,3,0.0,0.0,2,1,1,Belchatow,21.0,19.6,0.6000000000000001,0.0,5,100.0,0,10,1,2010
9,28,3,4,1,Rzeszow,20.560000000000002,20.28,0.2,0.2,5,100.0,0.0,4,10,1,Verva Warszawa,20.7,20.65,0.4,0.4,4,100.0,0,10,1,2010
10,29,10,8,0,Wielun,19.357333333333333,21.448000000000004,0.0,-0.7600000000000001,2,0.0,0.0,8,5,0,AZS Czestochowa,20.272,20.376,-0.36000000000000004,-0.2,2,0.0,0,10,1,2010
11,30,1,1,1,Belchatow,20.84,19.520000000000003,0.6000000000000001,0.6800000000000002,3,100.0,0.0,4,4,0,Rzeszow,20.448000000000004,20.384,-0.03999999999999998,0.0,2,50.0,0,10,1,2010
12,30,4,10,1,Verva Warszawa,20.72,20.52,0.0,0.52,2,100.0,0.0,3,2,1,Kedzierzyn-Kozle,21.8,18.813333333333336,1.08,0.6000000000000001,3,100.0,0,10,1,2010
13,30,7,11,1,Kielce,20.580000000000002,21.200000000000003,0.0,-0.08000000000000007,3,50.0,0.0,9,3,0,Jastrzebski,20.36,20.599999999999998,-0.52,0.0,3,0.0,0,10,1,2010
14,31,9,7,1,Olsztyn,19.96,21.04,-0.6000000000000001,-0.2800000000000001,4,50.0,0.0,6,6,0,Bydgoszcz,20.496000000000002,20.932000000000002,-0.24,0.0,4,50.0,0,10,1,2010
