,Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
0,29,9,2011,Verva Warszawa,Bydgoszcz,20.0,20.0,20.0,20.0,5,6,5,6,0,0,0.0,0.0,0.0,0.0,-2286,-2286,0.0,0,50.0,50.0,0
1,30,9,2011,Gdansk,Belchatow,20.0,20.0,20.0,20.0,10,2,10,1,0,0,0.0,0.0,0.0,0.0,-2285,-2285,0.0,0,50.0,50.0,0
2,1,10,2011,AZS Czestochowa,Jastrzebski,20.0,20.0,20.0,20.0,6,5,4,7,0,0,0.0,0.0,0.0,0.0,-2284,-2284,0.0,0,50.0,50.0,1
3,2,10,2011,Rzeszow,Olsztyn,20.0,20.0,20.0,20.0,5,9,2,10,0,0,0.0,0.0,0.0,0.0,-2283,-2283,0.0,0,50.0,50.0,1
4,3,10,2011,Kedzierzyn-Kozle,Kielce,20.0,20.0,20.0,20.0,5,7,3,8,0,0,0.0,0.0,0.0,0.0,-2282,-2282,0.0,0,50.0,50.0,1
5,5,10,2011,Jastrzebski,Verva Warszawa,20.4,19.65,20.95,20.7,6,8,7,5,0,0,-0.4,-0.4,0.0,0.0,4,6,0.0,0,0.0,0.0,1
6,7,10,2011,Olsztyn,AZS Czestochowa,20.0,20.95,21.0,20.4,9,6,10,4,0,1,-0.6000000000000001,0.4,0.0,0.0,5,6,0.0,0,0.0,100.0,1
7,8,10,2011,Belchatow,Kedzierzyn-Kozle,20.9,20.65,20.2,20.15,1,2,1,3,1,1,0.4,0.4,0.0,0.0,7,5,0.0,0,100.0,100.0,0
8,8,10,2011,Bydgoszcz,Gdansk,20.7,20.2,19.65,20.9,4,10,6,10,1,0,0.4,-0.4,0.0,0.0,7,7,0.0,0,100.0,0.0,1
9,8,10,2011,Kielce,Rzeszow,20.15,21.0,20.65,20.0,8,4,8,2,0,1,-0.4,0.6000000000000001,0.0,0.0,5,6,0.0,0,0.0,100.0,0
10,12,10,2011,Kedzierzyn-Kozle,Gdansk,21.52,20.560000000000002,20.32,21.72,1,10,3,10,1,0,0.9200000000000002,-0.9200000000000002,0.4,-0.6000000000000001,4,4,0.0,0,100.0,0.0,1
11,12,10,2011,Verva Warszawa,Olsztyn,20.77,21.0,21.86,20.733333333333334,9,7,5,10,0,1,-0.7200000000000001,0.12,-0.4,-0.6000000000000001,7,5,0.0,0,0.0,50.0,0
12,12,10,2011,AZS Czestochowa,Kielce,20.693333333333335,21.386666666666667,21.32,22.253333333333334,7,8,4,8,0,0,-0.28,-0.9200000000000002,0.4,-0.4,5,4,0.0,0,50.0,0.0,0
13,12,10,2011,Rzeszow,Belchatow,22.533333333333335,20.919999999999998,21.266666666666666,21.16,2,5,2,1,1,0,1.08,-0.28,0.6000000000000001,0.4,4,4,0.0,0,100.0,50.0,1
14,15,10,2011,Kedzierzyn-Kozle,Rzeszow,22.016000000000002,22.546666666666667,20.606,21.53333333333333,1,2,3,2,1,1,1.1360000000000001,1.064,0.7200000000000001,0.6000000000000001,3,3,0.0,0,100.0,100.0,1
15,15,10,2011,Olsztyn,Bydgoszcz,21.35,21.56,20.98666666666667,20.119999999999997,4,3,10,6,1,1,0.496,0.9200000000000002,0.6000000000000001,0.4,3,7,0.0,0,66.66666666666666,100.0,0
