Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
22,10,2010,Kielce,Belchatow,20,20,20,20,8,1,8,1,0,0,0,0,0,0,-2628,-2628,0,0,50,50,0
23,10,2010,AZS Czestochowa,Bydgoszcz,20,20,20,20,4,6,5,6,0,0,0,0,0,0,-2627,-2627,0,0,50,50,0
23,10,2010,Kedzierzyn-Kozle,Olsztyn,20,20,20,20,4,10,2,7,0,0,0,0,0,0,-2627,-2627,0,0,50,50,1
23,10,2010,Wielun,Rzeszow,20,20,20,20,9,4,8,4,0,0,0,0,0,0,-2627,-2627,0,0,50,50,0
24,10,2010,Verva Warszawa,Jastrzebski,20,20,20,20,6,7,10,3,0,0,0,0,0,0,-2626,-2626,0,0,50,50,1
27,10,2010,Wielun,Kedzierzyn-Kozle,20.28,21,20.56,19.6,9,3,8,2,0,1,-0.2,0.6,-0.2,0,4,4,0,0,0,100,0
27,10,2010,Olsztyn,AZS Czestochowa,19.6,20.04,21,20.12,10,6,7,5,0,0,-0.6,-0.2,0,0,4,4,0,0,0,0,1
27,10,2010,Kielce,Bydgoszcz,19.6,20.12,21,20.04,9,5,8,6,0,1,-0.6,0.2,-0.6,0.2,5,4,0,0,0,100,1
27,10,2010,Belchatow,Jastrzebski,21,20.65,19.6,20.7,2,9,1,3,1,0,0.6,-0.4,0,-0.4,5,3,0,0,100,0,1
28,10,2010,Verva Warszawa,Rzeszow,20.7,20.56,20.65,20.28,4,3,10,4,1,1,0.4,0.2,0.4,0.2,4,5,0,0,100,100,1
29,10,2010,AZS Czestochowa,Wielun,20.272,19.35733333,20.376,21.448,8,10,5,8,0,0,-0.36,-0.76,-0.2,0,2,2,0,0,0,0,1
30,10,2010,Rzeszow,Belchatow,20.448,20.84,20.384,19.52,4,1,4,1,0,1,-0.04,0.68,0,0.6,2,3,0,0,50,100,1
30,10,2010,Kedzierzyn-Kozle,Verva Warszawa,21.8,20.72,18.81333333,20.52,3,4,2,10,1,1,1.08,0.52,0.6,0,3,2,0,0,100,100,1
30,10,2010,Jastrzebski,Kielce,20.36,20.58,20.6,21.2,9,7,3,8,0,1,-0.52,-0.08,0,0,3,3,0,0,0,50,1
31,10,2010,Bydgoszcz,Olsztyn,20.496,19.96,20.932,21.04,6,9,6,7,0,1,-0.24,-0.28,0,-0.6,4,4,0,0,50,50,1
3,11,2010,Wielun,Bydgoszcz,19.0192,22.13013333,22.1584,21.87893333,10,5,8,6,0,1,-1.208,0.408,-0.76,-0.24,5,3,0,0,0,66.66666667,1
3,11,2010,Kielce,Olsztyn,19.93066667,21.10133333,21.96,22.56533333,8,10,8,7,0,0,-0.664,-0.824,-0.08,-1.08,4,3,0,0,33.33333333,33.33333333,1
3,11,2010,Belchatow,Kedzierzyn-Kozle,20.872,22.14,20.216,19.05066667,2,1,1,2,0,1,0.144,1.264,0.2,0.6,4,4,0,0,66.66666667,100,1
3,11,2010,Verva Warszawa,AZS Czestochowa,20.576,21.2176,21.116,19.83413333,4,7,10,5,0,1,0.016,0.312,0.52,-0.2,4,5,0,0,66.66666667,33.33333333,0
4,11,2010,Jastrzebski,Rzeszow,21.288,20.9584,19.94666667,20.5072,8,3,3,4,1,1,0.184,0.368,0.6,-0.04,5,5,0,0,33.33333333,66.66666667,0
6,11,2010,Bydgoszcz,Verva Warszawa,21.37077333,21.0108,22.50314667,21.7428,6,5,6,10,0,0,-0.2736,-0.3872,0.6,-0.4,3,3,0,0,50,50,0
6,11,2010,Olsztyn,Wielun,21.33106667,20.21536,22.80226667,21.39338667,10,9,7,8,0,1,-1.0592,-0.3664,0.2,-0.6,3,3,0,0,25,25,1
6,11,2010,AZS Czestochowa,Belchatow,21.82408,20.8976,20.41730667,20.5728,5,1,5,1,1,1,0.6496,0.3152,0.44,0.08,3,3,0,0,50,75,0
6,11,2010,Rzeszow,Kielce,20.68672,20.69453333,20.48576,22.018,2,7,4,8,1,1,0.4944,-0.1312,0.4,-0.6,2,3,0,0,75,50,1
7,11,2010,Kedzierzyn-Kozle,Jastrzebski,22.112,21.1104,19.44053333,19.87733333,3,9,2,3,0,0,0.8112,-0.0528,0.88,-0.52,4,3,0,0,75,25,0
10,11,2010,Kielce,Wielun,20.45562667,20.022288,22.2144,22.01470933,8,10,8,8,0,0,-0.50496,-0.69312,0.336,-0.88,4,4,0,0,40,20,0
10,11,2010,Jastrzebski,AZS Czestochowa,22.08832,21.659264,20.85186667,21.33384533,7,5,3,5,1,0,0.35776,-0.08032,0.28,0.24,3,4,0,0,40,40,0
10,11,2010,Belchatow,Bydgoszcz,21.71808,21.59661867,20.65824,22.80251733,1,6,1,6,1,0,0.85216,-0.61888,0.36,-0.792,4,4,0,0,80,40,1
10,11,2010,Verva Warszawa,Olsztyn,21.60864,21.96485333,21.89424,22.09181333,5,10,10,7,1,1,0.09024,-0.44736,0.016,-1.264,4,4,0,0,60,40,1
11,11,2010,Rzeszow,Kedzierzyn-Kozle,21.149376,22.6396,20.288608,20.75242667,2,4,4,2,1,0,0.79552,0.24896,0.72,0.28,5,4,0,0,80,60,1
13,11,2010,Olsztyn,Belchatow,22.105216,22.374464,22.74011733,20.25992533,10,1,7,1,0,1,-0.957888,1.281728,0.56,0.664,3,3,0,0,33.33333333,83.33333333,0
13,11,2010,Kedzierzyn-Kozle,Kielce,22.43168,21.11450133,20.60194133,22.92152,4,8,2,8,0,0,-0.000832,-0.803968,0.304,-0.88,2,3,0,0,50,33.33333333,1
13,11,2010,Bydgoszcz,Jastrzebski,21.01062827,22.420656,23.24201387,21.83149333,6,7,6,3,0,0,-1.095104,-0.113792,0.08,-0.016,3,3,0,0,33.33333333,33.33333333,1
14,11,2010,AZS Czestochowa,Rzeszow,22.4774112,20.9195008,21.81707627,20.5508864,5,2,5,4,1,1,0.335744,0.836416,-0.248,0.168,4,3,0,0,50,83.33333333,1
15,11,2010,Wielun,Verva Warszawa,21.1678304,22.35357867,22.36176747,22.04872533,9,5,8,10,1,1,-0.154496,0.672192,-0.008,0.08,5,5,0,0,33.33333333,66.66666667,0
18,11,2010,Kielce,Verva Warszawa,20.89160107,22.43286293,22.617216,21.73898027,8,3,8,10,0,1,-0.8431744,0.9377536,-0.1312,0.464,5,3,0,0,28.57142857,71.42857143,1
19,11,2010,Jastrzebski,Olsztyn,22.7365248,20.8841728,22.56519467,23.19209387,8,10,3,7,0,0,-0.4910336,-1.3663104,-0.176,-1.6112,6,6,0,0,28.57142857,28.57142857,1
