,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
0,8,8,0,20.387373752517,23.4057679552048,-1.22173191617513,-1.38442633910308,7,50,-0.68,10,10,0,20.7090941383142,22.524443080719,-1.46395876603501,-1.3089509646336,7,50,0,0,1,Sao Bernardo,JF Volei,12,2013
1,11,7,0,21.2207526301924,22.1689826749748,-1.39521902832683,-0.466665779368633,7,50,-0.4,10,12,0,21.0455586802482,22.9728626102807,-1.31967631890186,-0.8199808,7,50,0,0,1,Volta Redonda,Funvic,12,2013
2,8,6,0,22.2404298199132,22.1437544134919,-0.3208014848,-0.538449796528236,7,50,0,12,12,0,20.8537364111095,23.5008407085514,-1.53538797974564,-0.725264334633767,7,50,0,0,1,Canoas,America Volei,12,2013
3,5,3,0,22.5923390284402,23.4210684418486,0.211145295644935,-0.309820524778564,7,50,0,9,8,0,20,20,0,0,7,50,0,0,1,Sesi,Maringa,12,2013
4,6,3,0,20,20,0,0,7,50,0,8,1,1,23.5526826485149,21.3442451649475,1.37270941663465,1.97123353676289,7,50,0,1,1,Brasil Volei Clube,RJX,12,2013
5,6,2,0,23.512631061809,21.7389784232887,0.781578166049402,1.25180757887141,7,50,-0.32084736,1,3,1,22.5405378894188,22.8035214201456,0.352143580177149,0.347608938344854,3,100,0,0,4,Sada Cruzeiro,Sesi,12,2013
6,9,8,0,20.0666666666667,20.4666666666667,0,-0.6,4,0,0,5,8,1,19.9898990020136,22.4846143641639,-0.907541071282463,-0.824394430347842,4,100,0,1,5,Maringa,Sao Bernardo,12,2013
7,4,1,1,22.4021461188119,20.875396131958,0.25357447171539,1.29816753330772,4,100,-0.322432,8,5,0,23.7746734988297,22.9998908650733,0.403236235879058,1.23964198254966,7,50,0,1,5,RJX,Minas,12,2013
8,10,10,0,20.3272753106513,21.6995544645752,-1.71355508576407,-1.37116701282801,4,0,-0.04,7,7,1,21.1766021041539,21.0018528066465,0.226667376505094,0.275022129479681,4,100,0,1,5,JF Volei,Volta Redonda,12,2013
9,11,12,0,20.1031136108652,22.5782900882246,-1.589443584,-1.65574105512149,4,0,0.6,7,6,1,21.8423438559306,21.2650035307935,-0.030759837222589,0.158230016,4,100,0,1,5,Funvic,Canoas,12,2013
10,12,12,0,20.2329891288876,22.8506725668412,-1.43327604285632,-1.62831038379651,5,0,0,8,3,0,19.8,19.56,-0.2,0,5,0,0,1,6,America Volei,Brasil Volei Clube,12,2013
11,3,7,1,21.1412816833232,20.1348155786505,-0.516175222661467,0.781333901204075,2,100,0.06368,2,8,1,20.3919192016109,22.0876914913311,-0.326032857025971,-0.259515544278274,2,100,0,1,7,Volta Redonda,Sao Bernardo,12,2013
