away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Home_AZS Czestochowa,Home_America Volei,Home_Bedzin,Home_Belchatow,Home_Bento Volei,Home_Bielsko-Biala,Home_Blumenau,Home_Brasil Volei Clube,Home_Bydgoszcz,Home_Canoas,Home_Cimed,Home_Corinthians/Guarulhos,Home_Cuprum,Home_Czarni Radom,Home_Fatima UCS,Home_Funvic,Home_GKS Katowice,Home_Gdansk,Home_JF Volei,Home_Jastrzebski,Home_Kedzierzyn-Kozle,Home_Kielce,Home_Londrina,Home_Maringa,Home_Medley,Home_Minas,Home_Olsztyn,Home_Pinheiros,Home_Ponta Grossa,Home_RJX,Home_Rzeszow,Home_SESC-RJ,Home_Sada Cruzeiro,Home_Santo Andre,Home_Sao Bernardo,Home_Sao Jose dos Campos,Home_Sao Judas,Home_Sesi,Home_Slepsk Suwalki,Home_Super Imperatriz,Home_Szczecin,Home_UM Itapetininga,Home_Ulbra Sao Caetano,Home_Verva Warszawa,Home_Volei Futuro,Home_Volei Renata,Home_Volei Ribeirao,Home_Voleisul/Paqueta,Home_Volta Redonda,Home_Wielun,Home_Zawiercie,Away_AZS Czestochowa,Away_America Volei,Away_Bedzin,Away_Belchatow,Away_Bento Volei,Away_Bielsko-Biala,Away_Blumenau,Away_Brasil Volei Clube,Away_Bydgoszcz,Away_Canoas,Away_Cimed,Away_Corinthians/Guarulhos,Away_Cuprum,Away_Czarni Radom,Away_Fatima UCS,Away_Funvic,Away_GKS Katowice,Away_Gdansk,Away_JF Volei,Away_Jastrzebski,Away_Kedzierzyn-Kozle,Away_Kielce,Away_Londrina,Away_Maringa,Away_Medley,Away_Minas,Away_Olsztyn,Away_Pinheiros,Away_Ponta Grossa,Away_RJX,Away_Rzeszow,Away_SESC-RJ,Away_Sada Cruzeiro,Away_Santo Andre,Away_Sao Bernardo,Away_Sao Jose dos Campos,Away_Sao Judas,Away_Sesi,Away_Slepsk Suwalki,Away_Super Imperatriz,Away_Szczecin,Away_UM Itapetininga,Away_Ulbra Sao Caetano,Away_Verva Warszawa,Away_Volei Futuro,Away_Volei Renata,Away_Volei Ribeirao,Away_Voleisul/Paqueta,Away_Volta Redonda,Away_Wielun,Away_Zawiercie
12,12,0,20.0,20.0,0.0,0.0,7,50.0,0.0,2,2,0,20.0,20.0,0.0,0.0,7,50.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,0,20.0,20.0,0.0,0.0,7,50.0,0.0,8,1,0,20.0,20.0,0.0,0.0,7,50.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,0,20.0,20.0,0.0,0.0,7,50.0,0.0,11,5,0,20.0,20.0,0.0,0.0,7,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,0,20.0,20.0,0.0,0.0,7,50.0,0.0,11,4,0,20.0,20.0,0.0,0.0,7,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,0,20.4,20.64,-0.2,-0.2,2,0.0,0.0,3,4,1,20.85,20.55,0.4,0.4,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,0,20.55,20.85,-0.4,-0.4,2,0.0,0.0,4,5,1,20.64,20.4,0.2,0.2,2,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,14,0,20.0,20.0,0.0,0.0,7,50.0,0.0,2,2,1,21.3333333333,20.0666666667,0.6,0.6,7,100.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13,0,20.0,20.0,0.0,0.0,7,50.0,0.0,3,1,1,21.133333333299998,20.4,0.6,0.6,5,100.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,14,0,19.2,21.0,-0.6,-0.6,5,0.0,0.0,7,9,0,20.0,20.0,0.0,0.0,7,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,12,0,20.0666666667,21.3333333333,-0.6,-0.6,7,0.0,0.0,11,12,0,20.0,20.0,0.0,0.0,7,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
