,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result
0,12,12,0,20,20,0,0,7,50,0,2,2,0,20,20,0,0,7,50,0,1
1,11,6,0,20,20,0,0,7,50,0,15,1,0,20,20,0,0,7,50,0,1
2,15,3,0,20,20,0,0,7,50,0,13,5,0,20,20,0,0,7,50,0,1
3,11,8,0,20,20,0,0,7,50,0,14,4,0,20,20,0,0,7,50,0,1
4,15,3,0,20.4,20.64,-0.2,-0.2,2,0,0,2,4,1,20.85,20.55,0.4,0.4,2,100,0,0
5,13,8,0,20.55,20.85,-0.4,-0.4,2,0,0,1,5,1,20.64,20.4,0.2,0.2,2,100,0,1
6,12,9,0,20,20,0,0,7,50,0,4,2,1,21.33333333,20.06666667,0.6,0.6,7,100,0,1
7,7,12,0,20,20,0,0,7,50,0,5,1,1,21.13333333,20.4,0.6,0.6,5,100,0,1
8,12,9,0,19.2,21,-0.6,-0.6,5,0,0,11,9,0,20,20,0,0,7,50,0,0
9,7,12,0,20.06666667,21.33333333,-0.6,-0.6,7,0,0,11,10,0,20,20,0,0,7,50,0,1
10,10,11,0,20,20,0,0,7,50,0,14,8,0,20,20,0,0,7,50,0,1
11,2,2,1,22.06666667,19.25333333,0,1.08,5,100,0,15,6,0,20.4,21.13333333,-0.6,0,7,0,0,0
12,14,8,0,21.09,21.68,-0.72,-0.72,7,0,0,8,3,1,21.65333333,21.44533333,0.44,0,7,50,0,1
13,6,9,1,20.04,21.28,-0.28,-0.28,1,50,0,5,10,1,20.32,20,0.2,0.2,1,100,0,1
14,1,2,1,22.01333333,19.28266667,0.2,1.064,2,100,0,10,12,0,20.33333333,21,-0.6,0,7,0,0,0
15,5,1,1,21.90666667,20.65333333,0,1.08,7,100,0,7,8,1,21,19.53333333,0.6,0.6,2,100,0,0
16,9,12,0,20.05333333,21.38666667,-0.68,-0.68,2,0,0,13,9,0,20.48,20.68,-0.2,-0.2,2,0,0,0
17,12,10,0,20,20,0,0,7,50,0,10,12,0,20.4,21.8,-1.08,-0.6,5,0,0,0
18,5,3,1,22.22266667,20.65626667,0.44,0.752,6,66.66666667,0,6,12,1,20.99266667,21.50933333,-0.144,0,5,33.33333333,0,0
19,4,10,1,21.256,19.53333333,0,0.76,6,100,0,1,2,1,22.61066667,19.55946667,1.4512,1.08,5,100,0,1
20,9,8,0,20.6,20.62666667,0,-0.12,5,50,0,15,6,0,20.2,21.26666667,-0.68,-0.2,7,0,0,0
21,6,5,1,21.512,20.97,0,0.56,7,100,0,3,1,1,22.52533333,20.32266667,1.464,1.08,5,100,0,0
22,10,4,0,21.61333333,21.77333333,0,-0.28,7,50,0,12,11,0,19.53333333,21,-0.6,0,7,0,0,0
23,14,8,0,20.372,22.244,-0.976,-0.976,6,0,0,10,9,0,19.56533333,22.024,-0.824,0,6,33.33333333,0,0
24,6,8,1,20.8,20.70133333,0.2,0.104,2,66.66666667,0,12,12,0,20.56,21.64,-1.064,-0.68,2,0,0,1
25,10,10,1,20.2,20.24,0.2,0.2,2,100,0,15,6,0,20.36,21.33333333,-0.744,-0.36,2,0,0,1
26,2,5,1,22.4596,21.476,0.4,0.848,2,100,0,14,11,0,19.82666667,21.8,-1.08,-0.6,2,0,0,0
27,15,9,0,20.784,21.494,0,-0.56,7,0,0,1,2,1,22.98853333,19.94757333,1.56096,1.264,2,100,0,1
28,3,3,1,22.77813333,20.45834667,0.952,1.2016,2,75,0,11,9,0,19.7856,22.6192,-1.2592,-0.6,2,25,0,0
29,7,4,1,22.29066667,21.61866667,0.6,0.376,2,66.66666667,0,4,1,0,22.72026667,21.50813333,0.7712,0.464,2,75,0,1
30,12,8,1,21.2976,21.92853333,-0.1808,-0.1808,2,25,0,8,12,0,20.72746667,22.20746667,-0.7152,-0.6,2,25,0,0
31,10,12,1,21.198,21.812,-0.6,-0.4512,4,25,0,2,5,1,22.96768,20.11413333,1.2784,0.56,4,100,0,1
32,15,9,0,20.96053333,22.1952,-0.6,-1.048,4,0,0,3,3,1,23.22250667,20.50001067,1.56128,0.4,4,80,0,1
33,1,2,1,23.39082667,20.291392,0.76,1.848768,4,100,0,11,10,0,20.36,20.432,-0.04,0,4,50,0,1
34,6,10,0,21.3048,20.52666667,-0.4,0.208,6,66.66666667,0,7,8,1,22.03808,21.34282667,0.45536,0,4,40,0,1
35,12,9,0,19.96181333,23.09536,-0.824,-1.60736,4,20,0,4,1,1,22.29621333,21.24650667,0.81696,0.5712,4,80,0,1
36,10,12,0,20.38197333,22.76597333,-0.144,-1.17216,4,20,0,14,11,0,18.79466667,22.44,-1.464,-1.08,4,0,0,1
37,14,6,1,20.528,21.26666667,-0.6,-0.3952,4,25,0,9,4,0,21.87253333,21.41493333,0.1008,-0.28,4,50,0,1
38,15,9,0,20.36842667,22.75616,-1.08,-1.4384,3,0,0,5,8,1,22.630464,20.740928,0.964288,0.6,3,50,0,1
39,1,2,0,22.86266133,21.0331136,0.208,1.0790144,3,85.71428571,0,9,8,0,21.14,21.31106667,-0.3168,-0.12,7,50,0,0
40,14,6,0,19.6224,22.01333333,-1.08,-0.91616,3,20,0,2,5,1,23.84081067,20.95797333,1.62272,1.048,3,100,0,1
41,11,12,0,21.82506667,22.91626667,-1.08,-0.96096,3,20,0,6,4,1,22.49802667,20.33194667,0.68064,0.376,3,60,0,1
