home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result,Home_AZS Czestochowa,Home_Bedzin,Home_Belchatow,Home_Bielsko-Biala,Home_Bydgoszcz,Home_Cuprum,Home_Czarni Radom,Home_GKS Katowice,Home_Gdansk,Home_Jastrzebski,Home_Kedzierzyn-Kozle,Home_Kielce,Home_Olsztyn,Home_Rzeszow,Home_Slepsk Suwalki,Home_Szczecin,Home_Verva Warszawa,Home_Wielun,Home_Zawiercie,Away_AZS Czestochowa,Away_Bedzin,Away_Belchatow,Away_Bielsko-Biala,Away_Bydgoszcz,Away_Cuprum,Away_Czarni Radom,Away_GKS Katowice,Away_Gdansk,Away_Jastrzebski,Away_Kedzierzyn-Kozle,Away_Kielce,Away_Olsztyn,Away_Rzeszow,Away_Slepsk Suwalki,Away_Szczecin,Away_Verva Warszawa,Away_Wielun,Away_Zawiercie
20.0,20.0,20.0,20.0,8,1,8,1,0,0,0.0,0.0,0.0,0.0,-2628,-2628,0.0,0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,20.0,20.0,20.0,4,6,5,6,0,0,0.0,0.0,0.0,0.0,-2627,-2627,0.0,0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,20.0,20.0,20.0,4,10,2,7,0,0,0.0,0.0,0.0,0.0,-2627,-2627,0.0,0,50.0,50.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20.0,20.0,20.0,20.0,9,4,8,4,0,0,0.0,0.0,0.0,0.0,-2627,-2627,0.0,0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20.0,20.0,20.0,20.0,6,7,10,3,0,0,0.0,0.0,0.0,0.0,-2626,-2626,0.0,0,50.0,50.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20.28,21.0,20.56,19.6,9,3,8,2,0,1,-0.2,0.6,-0.2,0.0,4,4,0.0,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19.6,20.04,21.0,20.12,10,6,7,5,0,0,-0.6,-0.2,0.0,0.0,4,4,0.0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.6,20.12,21.0,20.04,9,5,8,6,0,1,-0.6,0.2,-0.6,0.2,5,4,0.0,0,0.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,20.65,19.6,20.7,2,9,1,3,1,0,0.6,-0.4,0.0,-0.4,5,3,0.0,0,100.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20.7,20.56,20.65,20.28,4,3,10,4,1,1,0.4,0.2,0.4,0.2,4,5,0.0,0,100.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20.272000000000002,19.35733333,20.375999999999998,21.448,8,10,5,8,0,0,-0.36,-0.76,-0.2,0.0,2,2,0.0,0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.448,20.84,20.384,19.52,4,1,4,1,0,1,-0.04,0.68,0.0,0.6,2,3,0.0,0,50.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
